target,weight,source,type
128116,1,128088,Undirected
128134,1,128088,Undirected
128135,3,128088,Undirected
128136,2,128088,Undirected
128137,3,128088,Undirected
128138,1,128088,Undirected
128191,2,128088,Undirected
128200,2,128088,Undirected
128220,1,128088,Undirected
128226,1,128088,Undirected
128243,1,128088,Undirected
128281,1,128088,Undirected
128329,1,128088,Undirected
128352,1,128088,Undirected
128371,1,128088,Undirected
128388,1,128088,Undirected
128393,1,128088,Undirected
128431,2,128088,Undirected
128445,1,128088,Undirected
128539,1,128088,Undirected
128564,2,128088,Undirected
128634,1,128088,Undirected
128649,1,128088,Undirected
128931,1,128088,Undirected
208083,5,128088,Undirected
208091,3,128088,Undirected
208146,1,128088,Undirected
208300,1,128088,Undirected
208340,1,128088,Undirected
378688,1,128088,Undirected
378706,1,128088,Undirected
378725,1,128088,Undirected
128161,1,128100,Undirected
128196,1,128100,Undirected
128211,1,128100,Undirected
128384,1,128100,Undirected
128393,1,128100,Undirected
128470,1,128100,Undirected
128471,1,128100,Undirected
128645,1,128100,Undirected
128667,1,128100,Undirected
128961,1,128100,Undirected
208082,4,128100,Undirected
208083,3,128100,Undirected
208101,2,128100,Undirected
208102,1,128100,Undirected
208106,4,128100,Undirected
208184,2,128100,Undirected
208251,2,128100,Undirected
208379,1,128100,Undirected
210030,1,128100,Undirected
211096,1,128100,Undirected
211123,6,128100,Undirected
211200,4,128100,Undirected
211596,1,128100,Undirected
128138,4,128135,Undirected
128200,7,128135,Undirected
128820,1,128135,Undirected
128973,1,128135,Undirected
208083,1,128135,Undirected
208086,7,128135,Undirected
208091,12,128135,Undirected
208146,3,128135,Undirected
208300,1,128135,Undirected
208340,3,128135,Undirected
208770,2,128135,Undirected
208987,1,128135,Undirected
209582,1,128135,Undirected
209692,1,128135,Undirected
209730,1,128135,Undirected
209747,1,128135,Undirected
352722,1,128135,Undirected
352732,1,128135,Undirected
352736,1,128135,Undirected
352769,1,128135,Undirected
128200,4,128138,Undirected
208082,3,128138,Undirected
208086,1,128138,Undirected
208091,3,128138,Undirected
208086,3,128200,Undirected
208091,6,128200,Undirected
208146,1,128200,Undirected
208340,1,128200,Undirected
208987,1,128200,Undirected
209692,1,128200,Undirected
208300,1,128431,Undirected
208102,1,128436,Undirected
208184,1,128436,Undirected
128543,1,128441,Undirected
128827,1,128441,Undirected
128855,1,128441,Undirected
208082,3,128506,Undirected
208083,1,128630,Undirected
208300,1,128630,Undirected
208445,1,128734,Undirected
209569,1,128734,Undirected
208091,2,128758,Undirected
128948,1,128840,Undirected
208087,7,128840,Undirected
208091,4,128840,Undirected
208116,3,128840,Undirected
208152,8,128840,Undirected
208168,1,128840,Undirected
208196,5,128840,Undirected
208211,4,128840,Undirected
208293,4,128840,Undirected
208476,2,128840,Undirected
208728,2,128840,Undirected
208744,1,128840,Undirected
209545,1,128840,Undirected
425060,2,128840,Undirected
208083,5,128973,Undirected
208091,6,128973,Undirected
208294,2,128973,Undirected
208300,2,128973,Undirected
209175,1,128973,Undirected
209362,1,128973,Undirected
257008,1,145820,Undirected
257207,1,145820,Undirected
411487,1,145820,Undirected
172620,4,157443,Undirected
208189,4,157443,Undirected
208441,1,157443,Undirected
208546,1,157443,Undirected
208711,1,157443,Undirected
208187,5,157879,Undirected
208219,5,157879,Undirected
209966,1,157879,Undirected
171392,1,163105,Undirected
208086,1,163105,Undirected
208101,1,163105,Undirected
208264,1,163105,Undirected
208364,1,163105,Undirected
208551,1,163105,Undirected
208735,1,163105,Undirected
209688,1,163105,Undirected
209895,1,163105,Undirected
211029,1,163105,Undirected
202629,1,164454,Undirected
203063,1,164454,Undirected
208094,7,166530,Undirected
208540,1,166530,Undirected
208548,1,166530,Undirected
208612,1,166530,Undirected
208668,2,166530,Undirected
208724,2,166530,Undirected
209341,1,166530,Undirected
208075,4,182532,Undirected
208136,4,182532,Undirected
