name,h_index,organization_name,id,publication_num
"Leisle, A. G.",2,Perm National Research Polytechnic University,208732,3
"Chikova, Tatyana N.",2,Perm National Research Polytechnic University,208733,2
"Esaulova, Irena Alexandrovna",1,Perm National Research Polytechnic University,208734,3
"Seredin, Valeriy V.",5,Perm State National Research University,208735,21
"Gavrilov, Aleksei V.",0,Perm National Research Polytechnic University,208736,3
"Pankova, Anastasia P.",1,Perm National Research Polytechnic University,208737,2
"Kochneva, O. E.",2,Perm National Research Polytechnic University,208738,4
"Pozdeeva, Tatyana Yu",0,Perm National Research Polytechnic University,208739,3
"Mizev, A. I.",12,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208740,41
"Kungurtseva, Ekaterina G.",1,Perm National Research Polytechnic University,208741,3
"Alikin, M. A.",1,Perm National Research Polytechnic University,208742,3
"Sidorov, Denis I.",1,,208743,5
"Repina, Vera A.",2,Perm National Research Polytechnic University,208744,3
"Katsnelson, Mikhail",2,Perm National Research Polytechnic University,208745,3
"Chugainova, Anastasiia A.",1,Perm National Research Polytechnic University,208746,3
"Istselemov, Dmitriy A.",3,Perm National Research Polytechnic University,208747,7
"Alekseeva, Irina E.",2,Perm National Research Polytechnic University,208748,4
"Klimova, Yana A.",2,Perm National Research Polytechnic University,208749,3
"Tikhonova, Aleksandra A.",1,Perm National Research Polytechnic University,208750,3
"Lazukova, Eugeniia Andreevna",1,Perm National Research Polytechnic University,208751,3
"Chursin, Valery A.",2,,208752,6
"Lozhkin, D. V.",1,Perm National Research Polytechnic University,208753,3
"Popov, Viktor",0,Perm National Research Polytechnic University,208754,3
"Karpova, D. D.",1,Perm National Research Polytechnic University,208755,3
"Ivanov, Pavel V.",1,Perm National Research Polytechnic University,208756,3
"Mikryukov, Anton O.",1,Perm National Research Polytechnic University,208757,3
"Bachurin, Andrey A.",2,Perm National Research Polytechnic University,208758,3
"Boyarshinova, Irina N.",1,Perm National Research Polytechnic University,208759,3
"Sterledeva, Tamara Dmitrievna",1,Perm National Research Polytechnic University,208761,3
"Turyshev, S. V.",0,Perm National Research Polytechnic University,208762,3
"Dmitrieva, Svetlana",1,Perm National Research Polytechnic University,208763,3
"Spirina, Varvara S.",1,Perm National Research Polytechnic University,208764,4
"Shevelev, I. M.",0,Perm National Research Polytechnic University,208765,3
"Knyazev, Aleksandr I.",3,,208766,4
"Vershinin, Dmitrii",1,Perm National Research Polytechnic University,208767,3
"Telkanov, Michael A.",1,Perm National Research Polytechnic University,208768,3
"Kleiman, Lev A.",1,Perm National Research Polytechnic University,208769,3
"Zotikov, Vladimir I.",2,Perm National Research Polytechnic University,208770,4
"Pogudin, A. L.",1,Perm National Research Polytechnic University,208771,3
"Wil’deman, Valerii E.",2,Perm National Research Polytechnic University,208772,3
"Ketov, P. A.",2,Perm National Research Polytechnic University,208773,4
"Repetskiy, Dmitrii S.",2,Perm National Research Polytechnic University,208774,3
"Malinin, V. I.",3,Perm National Research Polytechnic University,208775,11
"Ermakov, Mikhail A.",1,Perm National Research Polytechnic University,208777,3
"Dadenkov, Sergey A.",2,Perm National Research Polytechnic University,208778,4
"Denislamova, Ekaterina S.",6,Perm National Research Polytechnic University,208779,20
"Oktyabr’skii, O. N.",3,Perm National Research Polytechnic University,208780,7
"Melkomukova, Olga G.",1,Perm National Research Polytechnic University,208781,3
"Shestakov, Aleksey P.",6,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208782,58
"Melnikov, Sergey A.",1,Perm National Research Polytechnic University,208783,3
"Sitnikov, I. V.",2,Voronezh State Technical University,208784,6
"Baranova, Anna A.",1,Perm National Research Polytechnic University,208785,6
"Aleksandrova, A. S.",2,Perm National Research Polytechnic University,208786,3
"Ivanov, Vladimir Aleksandrovich",1,Perm National Research Polytechnic University,208787,3
"Syuzev, Andrey V.",1,Perm National Research Polytechnic University,208788,3
"Pryamilova, E. N.",2,Perm National Research Polytechnic University,208789,3
"Mezentsev, Aleksey Sergeevich",1,Perm National Research Polytechnic University,208790,3
"Fedotov, E. S.",2,Perm National Research Polytechnic University,208791,3
"Shestakova, Olga Valentinovna",1,Perm National Research Polytechnic University,208792,3
"Ermashov, A. O.",1,,208793,4
"Legotkina, Tatyana Sergeevna",0,Perm National Research Polytechnic University,208794,4
"Shmurak, M.",1,Perm National Research Polytechnic University,208795,3
"Lepikhin, Valeriy Vladimirovich",1,Perm National Research Polytechnic University,208796,3
"Romashkin, Makar A.",2,Perm National Research Polytechnic University,208797,3
"Vyatkin, Vladimir A.",1,Perm National Research Polytechnic University,208798,3
"Kul’met’eva, V. B.",1,Perm National Research Polytechnic University,208799,3
"Plekhov, Oleg Anatolievich",15,RAS - Ural Branch,208800,164
"Panteleev, A. A.",1,Perm National Research Polytechnic University,208801,3
"Mosheva, Elena A.",6,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208802,17
"Vol'khin, V. V.",6,Perm National Research Polytechnic University,208803,38
"Strukova, Veronika I.",1,Perm National Research Polytechnic University,208804,2
"Lipin, Yuri",0,Perm National Research Polytechnic University,208805,3
"Nyashin, M. Yu",2,Perm National Research Polytechnic University,208806,4
"Tolstobrova, Nadegda A.",1,Perm National Research Polytechnic University,208807,3
"Saraykina, Kseniya A.",2,Perm National Research Polytechnic University,208809,4
"Tolkachev, G. M.",1,Perm National Research Polytechnic University,208810,4
"Kosvintsev, Oleg K.",1,Perm National Research Polytechnic University,208811,4
"Batin, Sergei E.",2,Perm National Research Polytechnic University,208812,3
"Kobityansky, Alexey Efimovich",1,Perm National Research Polytechnic University,208813,3
"Shulakov, Nikolai V.",3,Perm National Research Polytechnic University,208814,8
"Yankovskii, L. V.",1,Perm National Research Polytechnic University,208815,3
"Grisharin, A. O.",1,Perm National Research Polytechnic University,208816,3
"Kavardakova, Elena Leonidovna",1,Perm National Research Polytechnic University,208817,2
"Maksimov, Aleksandr Yur‘evich",5,Perm State National Research University,208818,24
"Bazhukov, Pavel Sergeevich",2,Perm National Research Polytechnic University,208819,2
"Vladimirovna, Ustyantseva Olga",0,Perm National Research Polytechnic University,208820,2
"Glukhov, D. A.",1,Perm National Research Polytechnic University,208821,2
"Nazukin, Vladislav A.",1,,208822,4
"Sednev, D. Yu",1,Perm National Research Polytechnic University,208823,2
"Aleksentsev, Alexey A.",2,,208824,3
"Zaitsev, Aleksey",0,Perm National Research Polytechnic University,208825,2
"Bobrovskij, Igor N.",13,Togliatti State University,208826,39
"Nurgalin, Ruslan R.",1,Perm National Research Polytechnic University,208828,2
"Pristupova, Yulia S.",0,Perm National Research Polytechnic University,208829,2
"Abishev, A. A.",0,Perm National Research Polytechnic University,208830,2
"Kliuev, Andrei",1,Perm National Research Polytechnic University,208832,2
"Zagitov, Renat A.",1,Perm National Research Polytechnic University,208833,5
"Kushnaryova, Oksana V.",1,Perm National Research Polytechnic University,208834,2
"Sannikova, Nadezhda S.",0,Perm National Research Polytechnic University,208835,2
"Salakhova, V. К.",0,Perm National Research Polytechnic University,208836,2
"Khvostantcev, D.",1,Perm National Research Polytechnic University,208837,2
"Alekseev, Vsevolod R.",1,"St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO)",208838,4
"Nechaev, V. N.",1,Perm National Research Polytechnic University,208839,2
"Bilfeld, N. V.",2,Perm National Research Polytechnic University,208840,2
"Safonov, Nikita I.",1,Perm National Research Polytechnic University,208841,2
"Leizgold, Dmitrii Yu",1,Perm National Research Polytechnic University,208842,2
"Serova, Tamara S.",1,Perm National Research Polytechnic University,208843,2
"Skovorodnikov, Pavel V.",1,Perm National Research Polytechnic University,208844,2
"Bayandin, Stanislav R.",1,Perm National Research Polytechnic University,208845,2
"Savochkina, Anna A.",1,Perm National Research Polytechnic University,208846,2
"Yankovsky, Leonid V.",1,Perm National Research Polytechnic University,208847,2
"Maksimov, A. D.",1,Perm National Research Polytechnic University,208848,3
"Oborin, Aleksandr V.",1,Perm National Research Polytechnic University,208851,2
"Shulyatyev, Andrey F.",2,Perm National Research Polytechnic University,208852,2
"Gorbunov, Jurij Aleksandrovich",1,Perm National Research Polytechnic University,208853,2
"Vil’deman, A. V.",1,Perm National Research Polytechnic University,208854,2
"Yakov, Vaisman",1,Perm National Research Polytechnic University,208855,2
"Okatev, Roman S.",0,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208856,3
"Kusakin, Anatolii V.",1,Perm National Research Polytechnic University,208857,2
"Dudar, E. S.",1,Perm National Research Polytechnic University,208858,2
"Kalinin, K. V.",1,Perm National Research Polytechnic University,208859,2
"Konev, Ivan P.",1,Perm National Research Polytechnic University,208860,2
"Kamenskikh, I. A.",2,Perm National Research Polytechnic University,208861,2
"Petrov, I. A.",1,Perm National Research Polytechnic University,208862,2
"Shchuklina, L. M.",1,Perm National Research Polytechnic University,208863,2
"Kokorev, Aleksandr",1,Perm National Research Polytechnic University,208864,2
"Nikolaev, S. G.",3,Perm National Research Polytechnic University,208865,6
"Belova, Larisa Alexandrovna",3,,208866,10
"Baydarov, Andrey A.",0,Perm State Medical University,208867,2
"Eriskina, E. V.",0,Perm National Research Polytechnic University,208868,2
"Vozhakov, Artem V.",1,Perm National Research Polytechnic University,208869,3
"Galyagin, Konstantin S.",1,Perm National Research Polytechnic University,208870,2
"Shestakov, E. A.",0,Perm National Research Polytechnic University,208871,2
"Vasileva, Ekaterina E.",1,Perm National Research Polytechnic University,208873,2
"Nikolin, A. V.",0,Perm National Research Polytechnic University,208874,2
"Zakirova, M. G.",2,Perm National Research Polytechnic University,208875,4
"Kostarev, Konstantin G.",13,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208877,72
"Galata, S. S.",1,Perm National Research Polytechnic University,208878,2
"Solnyshkov, I. V.",1,Perm National Research Polytechnic University,208879,2
"Silichev, Maxim A.",1,Perm National Research Polytechnic University,208880,2
"Ponomarev, Vladislav S.",1,Perm National Research Polytechnic University,208881,2
"Klyuev, Nikita",1,Perm National Research Polytechnic University,208883,2
"Zhulanov, Evgeny",1,Perm National Research Polytechnic University,208884,2
"Podlesnykh, Ivan A.",0,Perm National Research Polytechnic University,208885,2
"Makagonov, Nikita G.",1,Perm National Research Polytechnic University,208886,2
"Bronnikov, Vladimir A.",2,Perm State Medical University,208887,11
"Naumov, M. D.",1,Perm National Research Polytechnic University,208888,2
"Koffer, K. V.",1,Perm National Research Polytechnic University,208889,2
"Kurakin, Anton D.",2,Perm National Research Polytechnic University,208890,2
"Krivonosova, Ekaterina K.",1,Perm National Research Polytechnic University,208891,2
"Oborina, Anna",1,Perm National Research Polytechnic University,208892,2
"Ustjugova, T. N.",2,Perm National Research Polytechnic University,208893,2
"Buzmakov, M. D.",0,Perm National Research Polytechnic University,208894,2
"Dolgova, Elena V.",1,Perm National Research Polytechnic University,208895,2
"Batalin, B. S.",1,Perm National Research Polytechnic University,208896,19
"Samodurov, Danil",2,Perm National Research Polytechnic University,208897,3
"Aliev, R. M.",0,Perm National Research Polytechnic University,208899,1
"Tsatiashvili, Vakhtang V.",2,,208900,12
"Chekmasov, N. V.",2,Perm National Research Polytechnic University,208901,2
"Smirnova, Anna N.",2,Perm State National Research University,208902,4
"Kondratyev, N. S.",2,Perm National Research Polytechnic University,208903,2
"Ivanova, Kseniya M.",1,Perm National Research Polytechnic University,208904,2
"Plaksina, V. P.",1,Perm National Research Polytechnic University,208905,2
"Klyuchnikov, A. T.",2,Perm National Research Polytechnic University,208906,8
"Popov, D. A.",1,Perm National Research Polytechnic University,208907,2
"Shustova, E. N.",1,Perm National Research Polytechnic University,208908,2
"Oshivalov, Michael A.",1,Perm National Research Polytechnic University,208909,4
"Makarychev, N. S.",2,Perm National Research Polytechnic University,208910,2
"Barkov, F. L.",10,"RAS - Perm Federal Research Center, Ural Branch",208911,23
"Lebedeva, O. O.",1,Perm National Research Polytechnic University,208912,2
"Khodyashev, N. B.",1,Perm National Research Polytechnic University,208913,6
"Nikitin, Sergey",1,Perm National Research Polytechnic University,208914,2
"Chudinov, Vladislav A.",1,Perm National Research Polytechnic University,208915,4
"Belyaev, Nikolay A.",2,,208916,7
"Skornyakova, Alexandra Yu",1,,208917,3
"Koksharov, Vitaliy",0,Perm National Research Polytechnic University,208918,2
"Ashihmin, Vladislav A.",1,Perm National Research Polytechnic University,208919,2
"Kamenskikh, Mariia",1,Perm National Research Polytechnic University,208920,2
"Karelina, K. A.",0,Perm National Research Polytechnic University,208921,2
"Gerchanok, Gennadiy A.",1,Perm National Research Polytechnic University,208922,2
"Shevelev, N. A.",2,Perm National Research Polytechnic University,208923,2
"Gnutova, Ksenia A.",2,Perm National Research Polytechnic University,208924,2
"Lozhkin, I. G.",0,Perm National Research Polytechnic University,208925,2
"Bachurina, Maria V.",1,Perm National Research Polytechnic University,208926,2
"Andrievskaya, N. V.",1,Perm National Research Polytechnic University,208927,2
"Gorodkova, Natalia A.",1,,208928,5
"Romanova, T. N.",0,Perm National Research Polytechnic University,208929,2
"Yashmanova, Lyudmila V.",0,Perm National Research Polytechnic University,208930,2
"Chudinov, Aleksandr N.",2,Perm National Research Polytechnic University,208931,6
"Getashvili, Maria Andreyevna",1,Perm National Research Polytechnic University,208932,2
"Sirotina, N. А.",0,Perm National Research Polytechnic University,208933,2
"Silina, O. V.",1,Perm National Research Polytechnic University,208934,5
"Khanov, Almaz Mullayanovich",0,Perm National Research Polytechnic University,208935,2
"Barsukova, T. Yu",1,Perm National Research Polytechnic University,208937,2
"Koskov, V. N.",1,Perm National Research Polytechnic University,208938,2
"Prokin, Valeriy Vasilyevich",1,Perm National Research Polytechnic University,208939,2
"Kusekova, Rafily",1,Perm National Research Polytechnic University,208940,2
"Kuznetsova, Y. S.",1,Perm National Research Polytechnic University,208941,2
"Isupova, Irina Leonidovna",2,Perm National Research Polytechnic University,208942,2
"Zubko, Irina A.",0,Perm National Research Polytechnic University,208943,2
"Kulikov, M. V.",1,Perm National Research Polytechnic University,208944,2
"Leont'eva, G. V.",4,Perm National Research Polytechnic University,208945,7
"Kryukov, A. Yu",2,Perm National Research Polytechnic University,208946,3
"Faynburg, Grigoriy Z.",2,"RAS - Mining Institute, Ural Branch",208947,10
"Perskiy, Yuriy Kalmanovich",0,Perm National Research Polytechnic University,208948,2
"Oskolkova, Viktoriya Ravilyevna",1,Perm National Research Polytechnic University,208949,2
"Dongauser, K. A.",4,,208950,9
"Navalikhina, E. Yu",2,Perm National Research Polytechnic University,208951,5
"Oniskiv, L. M.",1,Perm National Research Polytechnic University,208952,2
"Savitckii, Ian V.",1,Perm National Research Polytechnic University,208953,2
"Maksimov, A. B.",1,Perm National Research Polytechnic University,208954,2
"Kozlova, A. V.",2,Perm National Research Polytechnic University,208955,5
"Kurbatov, Y. E.",1,Perm National Research Polytechnic University,208956,2
"Strelkov, Vasiliy A.",1,Perm National Research Polytechnic University,208957,2
"Sapunkov, M. L.",2,Perm National Research Polytechnic University,208958,4
"Seredkina, Olga R.",1,Perm National Research Polytechnic University,208960,2
"Kuzʼminykh, Konstantin G.",1,Perm National Research Polytechnic University,208961,2
"Shestakova, Kseniya N.",1,Perm National Research Polytechnic University,208962,2
"Andreyko, Sergey S.",0,RAS - Ural Branch,208963,4
"Perevalov, Aleksandr M.",1,Perm National Research Polytechnic University,208964,2
"Puzanov, I. S.",2,Perm National Research Polytechnic University,208965,2
"Schitsyn, Yu D.",1,Perm National Research Polytechnic University,208966,2
"Golota, A. V.",1,Perm National Research Polytechnic University,208967,2
"Garanin, Andrew I.",2,,208969,9
"Musikhin, V. V.",1,Perm National Research Polytechnic University,208970,2
"Golovkin, Andrew Yu",1,Perm National Research Polytechnic University,208971,2
"Tsukanova, Anzhelika N.",1,Perm National Research Polytechnic University,208972,2
"Chikarenko, Sofya K.",1,Perm National Research Polytechnic University,208973,2
"Nikitina, Ksenia A.",1,Perm National Research Polytechnic University,208974,2
"Terentiev, S. A.",22,Technological Institute for Superhard and Novel Carbon Materials,208975,75
"Zhuzhgov, Nikita V.",0,Perm National Research Polytechnic University,208976,2
"Sedinin, Igor N.",0,,208977,2
"Nikitina, Yuliya K.",2,Perm National Research Polytechnic University,208978,2
"Faskhutdinov, Rustam N.",2,Perm National Research Polytechnic University,208979,2
"Likhacheva, Yuliya",2,Perm National Research Polytechnic University,208980,2
"Karpova, Yulia Alekseevna",0,Perm National Research Polytechnic University,208981,2
"Starkov, Ilja V.",0,Perm National Research Polytechnic University,208982,2
"Shirinkina, Mariya Alekseevna",0,Perm National Research Polytechnic University,208983,2
"Smirnov, Sergey A.",1,Perm National Research Polytechnic University,208984,4
"Belonogov, A. V.",2,Perm National Research Polytechnic University,208985,2
"Vavel’, A. Yu",1,Perm National Research Polytechnic University,208986,2
"Chalova, Polina O.",1,Perm National Research Polytechnic University,208987,2
"Saulin, D. V.",1,Perm National Research Polytechnic University,208988,2
"Mekhonoshin, Grigorii",0,Perm National Research Polytechnic University,208989,2
"Salamatina, Anna S.",1,Perm National Research Polytechnic University,208990,2
"Skuridina, Irina Vladimirovna",1,Perm National Research Polytechnic University,208991,2
"Seredkina, Elena V.",0,Perm National Research Polytechnic University,208992,2
"Razinsky, Gennady V.",0,Perm National Research Polytechnic University,208993,2
"Olontsev, V. F.",3,Perm National Research Polytechnic University,208995,11
"Tolstobrov, Danil A.",1,Perm National Research Polytechnic University,208996,2
"Inozemtsev, A. A.",5,,208997,25
"Elenskaya, Nataliya",0,Perm National Research Polytechnic University,208998,2
"Vozisov, Stepan E.",2,Perm National Research Polytechnic University,208999,2
"Sh Nikhamkin, Mikhail",1,Perm National Research Polytechnic University,209000,2
"Akhmadiev, Maksim V.",0,Perm National Research Polytechnic University,209001,2
"Grevnov, L. M.",2,Perm National Research Polytechnic University,209003,25
"Kochurov, V. I.",1,Perm National Research Polytechnic University,209004,2
"Larinin, Danil Mikhailovich",4,,209005,11
"Pastukhov, A. M.",1,Perm National Research Polytechnic University,209006,2
"Tarasova, Lyubov",0,Perm National Research Polytechnic University,209007,2
"Menshikov, Alexander I.",1,Perm State National Research University,209008,5
"Nurmuhametov, Danil I.",3,Perm National Research Polytechnic University,209010,4
"Andronova, Aleksandra A.",1,Perm National Research Polytechnic University,209011,3
"Feoktistova, Ekaterina V.",0,Perm National Research Polytechnic University,209012,2
"Naumov, I. S.",1,Perm National Research Polytechnic University,209013,2
"Stashkov, S. I.",0,Perm National Research Polytechnic University,209014,2
"Senkov, Sergey",4,Perm National Research Polytechnic University,209015,4
"Plekhov, P. V.",2,Perm National Research Polytechnic University,209016,2
"Shchuckin, I. S.",1,Perm National Research Polytechnic University,209017,2
"Schitsin, Yu D.",1,Perm National Research Polytechnic University,209018,2
"Yushkov, B. S.",1,Perm National Research Polytechnic University,209019,5
"Dolgirev, Vladislav D.",1,Perm National Research Polytechnic University,209020,2
"Yudin, R. Yu",1,Perm National Research Polytechnic University,209022,2
"Koskova, Kristina S.",2,Perm National Research Polytechnic University,209023,2
"Astashina, N. B.",3,Perm State Medical University,209024,21
"Ruslan, Vikhorev",2,,209025,4
"Bessonova, Elena N.",0,Perm National Research Polytechnic University,209026,2
"Belousov, Kirill I.",1,Perm National Research Polytechnic University,209027,2
"Alymenko, Nikolaj I.",4,"RAS - Mining Institute, Ural Branch",209028,7
"Pepelyaeva, A. V.",1,Perm National Research Polytechnic University,209029,2
"Permiakova, Kristina",1,Perm National Research Polytechnic University,209030,2
"Viskova, Tatiana A.",3,Perm National Research Polytechnic University,209031,4
"Trofimov, Alexander Olegovich",1,Perm National Research Polytechnic University,209032,2
"Beltyukov, N.",3,"RAS - Mining Institute, Ural Branch",209033,11
"Knyazev, Nikita A.",0,Perm National Research Polytechnic University,209034,1
"Dedkov, Denis",0,Perm National Research Polytechnic University,209035,2
"Nohrin, Mihail U.",1,Perm National Research Polytechnic University,209036,2
"Kokorev, Andrei",1,Perm National Research Polytechnic University,209038,2
"Spivak, Lev V.",6,Perm State National Research University,209039,75
"Kataev, Ya A.",1,Perm National Research Polytechnic University,209040,2
"Pichkaleva, Olga A.",2,Perm National Research Polytechnic University,209041,7
"Mitrofanova, Yuliya A.",0,Perm National Research Polytechnic University,209042,2
"Odintsov, A. A.",1,Perm National Research Polytechnic University,209043,2
"Kruze, Boris A.",2,Perm State Humanitarian Pedagogical University,209044,4
"Klestov, Roman A.",1,Perm National Research Polytechnic University,209045,3
"Bondarenko, A. V.",1,Russian Ministry of Health,209047,6
"Kulmetyeva, V. B.",0,Perm National Research Polytechnic University,209048,2
"Musikhin, N. A.",1,Perm National Research Polytechnic University,209049,1
"Busov, N. S.",0,Perm National Research Polytechnic University,209050,2
"Ostrovsky, Sergey V.",1,Perm National Research Polytechnic University,209051,2
"Kuznetsova, Yu V.",1,Perm National Research Polytechnic University,209052,1
"Falko, Kirill I.",1,Perm National Research Polytechnic University,209053,2
"Sakhabutdinova, Lyaysan",0,Perm National Research Polytechnic University,209054,2
"Krivonosova, А.",1,Perm National Research Polytechnic University,209055,2
"Rogozhnikov, Aleksei",1,Perm National Research Polytechnic University,209056,2
"Merzlyakov, K. S.",1,Perm National Research Polytechnic University,209057,2
"Kozlov, Victor G.",12,Perm State Humanitarian Pedagogical University,209058,129
"Rutskaya, Ekaterina Aleksandrovna",0,Perm National Research Polytechnic University,209059,2
"Shitoev, Ivan D.",1,Perm National Research Polytechnic University,209060,2
"Pun’kaev, V. V.",1,Perm National Research Polytechnic University,209061,2
"Zueva, O. A.",1,Perm National Research Polytechnic University,209062,2
"Mel’nikova, T. E.",1,Perm National Research Polytechnic University,209063,2
"Pugin, К. G.",0,,209064,2
"Chikhachev, Aleksandr I.",2,Perm National Research Polytechnic University,209065,2
"Levchenko, Valeriy V.",0,Perm National Research Polytechnic University,209066,2
"Zubairova, L. Kh",1,Perm National Research Polytechnic University,209067,2
"Zakirov, D. G.",2,Russian Academy of Sciences,209069,21
"Kamaltdinov, M. R.",3,,209070,22
"Lyalina, Tamara A.",1,"RAS - Mining Institute, Ural Branch",209071,4
"Titova, M. G.",1,Perm National Research Polytechnic University,209072,2
"Rashevskiy, Roman B.",1,Perm National Research Polytechnic University,209074,2
"Peshin, S. E.",0,Perm National Research Polytechnic University,209075,2
"Fedotova, O. A.",1,Perm National Research Polytechnic University,209076,2
"Krivogina, Darya N.",1,Perm National Research Polytechnic University,209077,2
"Siluyanova, M. Yu",1,Perm National Research Polytechnic University,209078,2
"Fedoseev, A. M.",1,Perm National Research Polytechnic University,209079,3
"Krasnovskikh, Marina P.",3,Perm State National Research University,209080,11
"Oniskiv, Daniil V.",1,Perm National Research Polytechnic University,209081,2
"Pavlov, D. A.",1,Perm National Research Polytechnic University,209082,1
"Rusin, E. S.",0,Perm National Research Polytechnic University,209083,2
"Garifzyanov, R. D.",0,Perm National Research Polytechnic University,209084,2
"Gladkikh, Valeriya S.",0,Perm National Research Polytechnic University,209085,2
"Azanova, Irina S.",7,,209086,27
"Burtsev, Andrey S.",1,Perm National Research Polytechnic University,209087,2
"Rakhimova, Olesya V.",1,Perm National Research Polytechnic University,209088,4
"Atanova, Anna S.",1,Perm National Research Polytechnic University,209089,2
"Gladkova, O. A.",1,Perm National Research Polytechnic University,209090,2
"Kameneva, Natalia",2,Perm National Research Polytechnic University,209091,2
"Korepanova, Yulia A.",1,Perm National Research Polytechnic University,209092,2
"Efimov, Artem A.",1,Perm National Research Polytechnic University,209093,2
"Beloglazova, T. N.",0,Perm National Research Polytechnic University,209094,3
"Ponomarev, I. S.",1,Perm National Research Polytechnic University,209095,2
"Mogilnikov, Andrey Vyacheslavovich",0,Perm National Research Polytechnic University,209097,2
"Subbotin, Stanislav V.",8,Perm State Humanitarian Pedagogical University,209098,30
"Odin, K. A.",3,Perm National Research Polytechnic University,209099,3
"Pristupov, V. S.",1,Perm National Research Polytechnic University,209100,2
"Kobeleva, E. K.",1,Perm National Research Polytechnic University,209102,3
"Galiaskarov, Eldar R.",2,Perm National Research Polytechnic University,209103,2
"Maximov, Andrei S.",2,Perm National Research Polytechnic University,209104,2
"Dolgikh, Daria A.",0,Perm National Research Polytechnic University,209105,2
"Cherepanov, Nikita A.",0,Perm National Research Polytechnic University,209106,2
"Krainova, Marina N.",1,Perm National Research Polytechnic University,209107,2
"Osheva, Irina Yu",0,Perm National Research Polytechnic University,209108,2
"Musinskii, A. N.",1,Perm National Research Polytechnic University,209109,2
"Potapov, Igor S.",1,Perm National Research Polytechnic University,209110,2
"Solodkii, E. M.",2,Perm National Research Polytechnic University,209111,3
"Belov, V. D.",0,Perm National Research Polytechnic University,209113,2
"Luzin, G. S.",1,Perm National Research Polytechnic University,209114,2
"Kotel’nikov, A. V.",0,Perm National Research Polytechnic University,209115,2
"Nisina, Olga E.",1,Perm National Research Polytechnic University,209116,2
"Zhuravlev, Anton A.",1,Perm State National Research University,209117,9
"Litvinova, Svetlana Viktorovna",1,Perm National Research Polytechnic University,209118,2
"Ivankin, Valeriy Yu",1,Perm National Research Polytechnic University,209120,1
"Biktagirov, I. R.",0,Perm National Research Polytechnic University,209121,1
"Ashichmin, S. G.",0,Perm National Research Polytechnic University,209122,1
"Kurbatova, L. N.",0,Perm National Research Polytechnic University,209123,1
"Safyanova, Tatyana V.",1,Perm National Research Polytechnic University,209125,1
"Eliseyev, I. Yu",1,Perm National Research Polytechnic University,209126,1
"Spaskova, E. V.",1,Perm National Research Polytechnic University,209127,1
"Smirnov, S. А.",0,Perm National Research Polytechnic University,209128,1
"Faskhutdinova, Y. B.",0,Perm National Research Polytechnic University,209130,1
"Vlasova, Yu A.",1,Perm National Research Polytechnic University,209131,2
"Khudyakov, Semen G.",1,Perm National Research Polytechnic University,209133,1
"Maksimov, A.",0,Perm National Research Polytechnic University,209134,1
"Gaidai, M. F.",0,Perm National Research Polytechnic University,209135,1
"Kataeva, Tatyana",1,Perm National Research Polytechnic University,209136,1
"Borisova, D. D.",0,Perm National Research Polytechnic University,209137,1
"Shipitsin, Sergey P.",1,Perm National Research Polytechnic University,209138,1
"Trefilova, Alexandra",1,Perm National Research Polytechnic University,209139,1
"Belyaev, E. F.",1,Perm National Research Polytechnic University,209140,7
"Kuznetsov, Mihail Vladimirovich",0,Perm National Research Polytechnic University,209141,1
"Klimova, Ya A.",0,Perm National Research Polytechnic University,209142,1
"Loevets, Dmitry A.",0,Perm National Research Polytechnic University,209143,1
"Leont’ev, P. A.",1,Perm National Research Polytechnic University,209144,1
"Ali, Imran",88,,209146,378
"Armisheva, Galiya",1,Perm National Research Polytechnic University,209147,1
"Kleiman, Elina",0,Perm National Research Polytechnic University,209149,1
"Muravsky, A. K.",1,Perm National Research Polytechnic University,209150,1
"Nikharnkin, M. S.",1,Perm National Research Polytechnic University,209151,1
"Grachev, Nikita A.",0,,209152,2
"Tyutyukov, A. S.",0,Perm National Research Polytechnic University,209153,1
"Fadeev, K. M.",1,Perm National Research Polytechnic University,209154,1
"Goncharovskij, Oleg",0,Perm National Research Polytechnic University,209155,1
"Baikov, V. S.",1,Perm National Research Polytechnic University,209156,1
"Ignatova, M.",1,Perm National Research Polytechnic University,209157,1
"Seleznev, Denis A.",2,RAS - Ural Branch,209159,3
"Dubrovskaya, Yulia V.",0,Perm National Research Polytechnic University,209160,1
"Smychec, V. B.",1,Perm National Research Polytechnic University,209161,1
"Pospelov, Aleksei B.",2,Perm National Research Polytechnic University,209162,4
"Shchegolkov, Evgeny V.",12,"RAS - Postovsky Institute of Organic Synthesis, Ural Branch",209163,51
"Lonskiy, O. V.",0,Perm National Research Polytechnic University,209164,1
"Faizrahmanov, Rustam",0,Perm National Research Polytechnic University,209165,1
"Ismailova, D. P.",1,Perm National Research Polytechnic University,209166,1
"Avdeeva, E. S.",0,Perm National Research Polytechnic University,209167,1
"Grishina, T. A.",1,Perm National Research Polytechnic University,209168,1
"Doshchennikov, M. D.",1,Perm National Research Polytechnic University,209169,1
