name,h_index,organization_name,id,publication_num
"Turbakov, Mikhail S.",6,Perm National Research Polytechnic University,208087,54
"Shlykov, Evgeniy Sergeevich",5,Perm National Research Polytechnic University,208088,42
"Bratsun, Dmitry A.",11,Perm National Research Polytechnic University,208089,63
"Simonov, Yu Nikolaevich",5,Perm National Research Polytechnic University,208090,68
"Krivoshchekov, S. N.",7,Perm National Research Polytechnic University,208091,43
"Lobanov, D. S.",10,Perm National Research Polytechnic University,208092,40
"Fayzrakhmanov, Rustam Abubakirovich",4,Perm National Research Polytechnic University,208094,49
"Shveykin, Alexey I.",12,Perm National Research Polytechnic University,208095,40
"Volegov, Pavel S.",8,Perm National Research Polytechnic University,208096,38
"Nikhamkin, Mikhail Sh",6,Perm National Research Polytechnic University,208097,45
"Ivanova, Tanyana Nikolaevna",4,Perm National Research Polytechnic University,208098,45
"Tret’yakov, Mikhail Pavlovich",7,Perm National Research Polytechnic University,208099,43
"Kochetkov, Andrey V.",6,Perm National Research Polytechnic University,208100,44
"Lekomtsev, Aleksandr Viktorovich",5,Perm National Research Polytechnic University,208101,43
"Poplygin, Vladimir V.",6,Perm National Research Polytechnic University,208102,37
"Palchikovskiy, Vadim V.",6,Perm National Research Polytechnic University,208103,34
"Modorskii, Vladimir Ya",8,Perm National Research Polytechnic University,208104,35
"Simonov, Mikhail Y.",3,Perm National Research Polytechnic University,208105,36
"Ponomareva, Inna N.",6,Perm National Research Polytechnic University,208106,38
"Tyurin, Sergey Feofentovich",6,Perm National Research Polytechnic University,208107,34
"Yuzhakov, Aleksandr A.",3,Perm National Research Polytechnic University,208108,45
"Asnin, Leonid D.",16,Perm National Research Polytechnic University,208109,73
"Nyashin, Yu Iv",8,Perm National Research Polytechnic University,208110,54
"Ignatova, Anna M.",3,,208111,46
"Pan'kov, Andrey A.",6,Perm National Research Polytechnic University,208112,47
"Shishlyannikov, Dmitriy I.",6,Perm National Research Polytechnic University,208113,31
"Trufanova, Nataliia Mihailovna",4,Perm National Research Polytechnic University,208114,64
"Kostarev, S. N.",5,Perm National Research Polytechnic University,208115,38
"Riabokon, Evgenii P.",5,Perm National Research Polytechnic University,208116,31
"Kashnikov, Yu A.",6,Perm National Research Polytechnic University,208117,47
"Belenkiy, Vladimir Ya",8,Perm National Research Polytechnic University,208118,44
"Tretyakova, Tatyana V.",8,Perm National Research Polytechnic University,208119,32
"Kokoulin, Andrey N.",5,Perm National Research Polytechnic University,208120,31
"Ilyushin, Pavel Yu",5,Perm National Research Polytechnic University,208121,32
"Stolbov, Valerii Yu",4,Perm National Research Polytechnic University,208122,39
"Khramtsov, I. V.",7,Perm National Research Polytechnic University,208123,27
"Kavalerov, B. V.",5,Perm National Research Polytechnic University,208124,30
"Perminov, Anatolii Victorovich",6,Perm National Research Polytechnic University,208125,27
"Shipunov, Gleb S.",6,Perm National Research Polytechnic University,208126,26
"Sliusar, Natalia N.",4,Perm National Research Polytechnic University,208127,27
"Yants, Anton Yu",5,Perm National Research Polytechnic University,208128,27
"Oglezneva, Svetlana Arkadjevna",3,Perm National Research Polytechnic University,208129,49
"Khanov, Almaz Mullayanovich",4,Perm National Research Polytechnic University,208130,30
"Sirotenko, Lyudmila Dmitrievna",2,Perm National Research Polytechnic University,208131,26
"Bezukladnikov, Igor I.",4,Perm National Research Polytechnic University,208132,25
"Kustov, Oleg Yu",6,Perm National Research Polytechnic University,208133,24
"Kashevarova, Galina G.",4,Perm National Research Polytechnic University,208134,26
"Kamenskikh, Anna A.",4,Perm National Research Polytechnic University,208135,22
"Gitman, Michael B.",5,Perm National Research Polytechnic University,208136,38
"Krivonosova, Ekaterina A.",5,Perm National Research Polytechnic University,208137,34
"Strungar, Elena M.",7,Perm National Research Polytechnic University,208138,24
"Sazhenkov, Nikolai A.",5,Perm National Research Polytechnic University,208139,26
"Korotaev, Vladimir N.",4,Perm National Research Polytechnic University,208140,25
"Siraev, Ramil R.",3,Perm National Research Polytechnic University,208141,28
"Shatsov, A. A.",6,Perm National Research Polytechnic University,208142,113
"Kochetkov, Andrei V.",5,Perm National Research Polytechnic University,208143,27
"Dubrovskaya, Julia V.",3,Perm National Research Polytechnic University,208144,22
"Panachev, Valery Dmitrievich",3,Perm National Research Polytechnic University,208145,28
"Vyatkin, Kirill A.",6,Perm National Research Polytechnic University,208146,22
"Kachenyuk, Maxim N.",4,Perm National Research Polytechnic University,208147,23
"Bul’bovich, Roman Vasilevich",4,Perm National Research Polytechnic University,208148,24
"Shchitsyn, Yu Dmitrievich",6,Perm National Research Polytechnic University,208149,29
"Opletin, Anatoliy Aleksandrovich",2,,208150,28
"Kozonogova, E. V.",3,Perm National Research Polytechnic University,208151,21
"Chernyshov, S. E.",5,Perm National Research Polytechnic University,208152,23
"Pugin, Konstantin Georgievich",4,,208153,22
"Ol’shanskaya, Tatyana V.",4,Perm National Research Polytechnic University,208154,22
"Nikolaev, Aleksandr V.",6,Perm National Research Polytechnic University,208155,24
"Zatonskiy, Andrey Vladimirovich",4,Perm National Research Polytechnic University,208156,24
"Poilov, Vladimir Z.",4,Perm National Research Polytechnic University,208157,33
"Porozova, Svetlana Eugenjevna",5,Perm National Research Polytechnic University,208158,63
"Mylnikov, Leonid",3,Perm National Research Polytechnic University,208159,23
"Malygina, Vera Vladimirovna",4,Perm National Research Polytechnic University,208160,27
"Nurullaev, E. M.",4,Perm National Research Polytechnic University,208161,21
"Kolesnichenko, Ilya V.",10,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208162,70
"Ignatov, Michael N.",3,Perm National Research Polytechnic University,208163,26
"Matveenko, Valerii Pavlovich",15,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208164,128
"Bochkarev, Sergey V.",5,Perm National Research Polytechnic University,208165,23
"Osokin, Vladimir M.",4,Perm National Research Polytechnic University,208166,19
"Neulybin, S. D.",5,Perm National Research Polytechnic University,208167,20
"Kozhevnikov, Evgenii V.",4,Perm National Research Polytechnic University,208168,22
"Shustov, D. V.",5,Perm National Research Polytechnic University,208169,19
"Kamenskikh, A. N.",5,Perm National Research Polytechnic University,208170,19
"Kameneva, Anna L.",8,Perm National Research Polytechnic University,208171,23
"Kosheleva, N. A.",6,RAS - Ural Branch,208172,36
"Zuiko, Valerii Yu",6,Perm National Research Polytechnic University,208173,19
"Trufanov, Nikolay Aleksandrovich",5,Perm National Research Polytechnic University,208174,26
"Shcherbinin, Aleksei Grigorievich",3,Perm National Research Polytechnic University,208175,35
"Matygullina, Elena V.",2,Perm National Research Polytechnic University,208176,21
"Ketov, Aleksandr A.",6,Perm National Research Polytechnic University,208177,23
"Dadenkov, D. A.",5,Perm National Research Polytechnic University,208178,19
"Permyakov, Gleb Lvovich",3,Perm National Research Polytechnic University,208179,16
"Staroverov Oleg, A.",4,Perm National Research Polytechnic University,208180,16
"Kolmogorov, German L.",2,Perm National Research Polytechnic University,208181,49
"Yankin, Andrey Sergeevich",5,Perm National Research Polytechnic University,208182,16
"Shaimanov, Grigory S.",3,Perm National Research Polytechnic University,208183,17
"Mordvinov, Victor Antonovich",6,Perm National Research Polytechnic University,208184,31
"Alekseev, Aleksander O.",3,Perm National Research Polytechnic University,208185,19
"Makarov, Vladimir F.",4,Perm National Research Polytechnic University,208186,32
"Pervadchuk, V. P.",4,Perm National Research Polytechnic University,208187,65
"Ermakov, Denis A.",3,Perm National Research Polytechnic University,208188,18
"Romodin, Aleksandr",5,Perm National Research Polytechnic University,208189,24
"Semenov, S. V.",5,Perm National Research Polytechnic University,208190,18
"Kazantsev, Vladimir Petrovich",4,Perm National Research Polytechnic University,208191,21
"Maksimov, Peter Viktorovich",3,Perm National Research Polytechnic University,208192,17
"Zelenin, Leonid Aleksandrovich",2,,208193,19
"Smetannikov, Oleg Yu",4,Perm National Research Polytechnic University,208194,19
"Slovikov, S. V.",4,Perm National Research Polytechnic University,208195,16
"Melekhin, A. A.",4,Perm National Research Polytechnic University,208196,19
"Nikulin, Illarion Leonidovich",6,Perm National Research Polytechnic University,208197,15
"Zubova, Ekaterina M.",5,Perm National Research Polytechnic University,208198,15
"Smetkin, Andrey A.",3,Perm National Research Polytechnic University,208199,21
"Ermilov, A. S.",4,Perm National Research Polytechnic University,208200,20
"Bravyi, Evgeniy I.",5,Perm National Research Polytechnic University,208201,27
"Gribov, Dmitriy Sergeevich",3,Perm National Research Polytechnic University,208202,14
"Burgonutdinov, Albert Masugutovich",3,Perm National Research Polytechnic University,208203,16
"Drozdov, A. A.",1,Perm National Research Polytechnic University,208204,14
"Kozlov, Anton V.",5,Perm National Research Polytechnic University,208205,14
"Vaisman, Ya I.",4,Perm National Research Polytechnic University,208206,43
"Chernyi, Sergey A.",2,Perm National Research Polytechnic University,208207,14
"Karmanov, Vadim V.",4,Perm National Research Polytechnic University,208208,17
"Korobov, Vladimir P.",7,"RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch",208209,44
"Stolbova, Irina Dmitrievna",2,Perm National Research Polytechnic University,208210,15
"Shcherbakov, Aleksandr A.",4,Perm National Research Polytechnic University,208211,13
"Plotnikov, Andrei Viktorovich",7,Perm National Research Polytechnic University,208212,25
"Solodkiy, Evgeniy M.",3,Perm National Research Polytechnic University,208213,13
"Khizhnyakov, Yu N.",2,Perm National Research Polytechnic University,208214,16
"Voronkov, Andrey A.",5,Perm National Research Polytechnic University,208215,32
"Kuznetsova, Tatiana A.",3,Perm National Research Polytechnic University,208216,14
"Pelenev, Konstantin A.",2,Perm National Research Polytechnic University,208217,13
"Gladkikh, Evgeniy A.",3,Perm National Research Polytechnic University,208218,11
